key,value
AccountTrie.Name,account trie
TopByDepth[5].Levels[11].Size,0
TopByDepth[5].Summary.Short,15930702
TopByDepth[5].Summary.Full,5426411
TopByDepth[5].Summary.Value,15731344
TopByDepth[5].Summary.Size,1295758567
TopByDepth[6].Owner,0x7b5855bb92cd7f3f78137497df02f6ccb9badda93d9782e0f230c807ba728be0
TopByDepth[6].MaxDepth,11
TopByDepth[6].TotalNodes,33421948
TopByDepth[6].TotalSize,1380418887
TopByDepth[6].ValueNodes,14216760
TopByDepth[6].Levels[0].Short,0
TopByDepth[6].Levels[0].Full,1
TopByDepth[6].Levels[0].Value,0
TopByDepth[6].Levels[0].Size,532
TopByDepth[6].Levels[1].Short,0
TopByDepth[6].Levels[1].Full,16
TopByDepth[6].Levels[1].Value,0
TopByDepth[6].Levels[1].Size,8512
TopByDepth[6].Levels[2].Short,0
TopByDepth[6].Levels[2].Full,256
TopByDepth[6].Levels[2].Value,0
TopByDepth[6].Levels[2].Size,136192
TopByDepth[6].Levels[3].Short,0
TopByDepth[6].Levels[3].Full,4096
TopByDepth[6].Levels[3].Value,0
TopByDepth[6].Levels[3].Size,2179072
TopByDepth[6].Levels[4].Short,0
TopByDepth[6].Levels[4].Full,65536
TopByDepth[6].Levels[4].Value,0
TopByDepth[6].Levels[4].Size,34865088
TopByDepth[6].Levels[5].Short,34
TopByDepth[6].Levels[5].Full,1048540
TopByDepth[6].Levels[5].Value,0
TopByDepth[6].Levels[5].Size,327616384
TopByDepth[6].Levels[6].Short,6259463
TopByDepth[6].Levels[6].Full,3329797
TopByDepth[6].Levels[6].Value,22
TopByDepth[6].Levels[6].Size,603947715
TopByDepth[6].Levels[7].Short,7400748
TopByDepth[6].Levels[7].Full,350905
TopByDepth[6].Levels[7].Value,6095657
TopByDepth[6].Levels[7].Size,376405477
TopByDepth[6].Levels[8].Short,705939
TopByDepth[6].Levels[8].Full,13213
TopByDepth[6].Levels[8].Value,7388631
TopByDepth[6].Levels[8].Size,34130854
TopByDepth[6].Levels[9].Short,26443
TopByDepth[6].Levels[9].Full,67
TopByDepth[6].Levels[9].Value,705873
TopByDepth[6].Levels[9].Size,1123445
TopByDepth[6].Levels[10].Short,134
TopByDepth[6].Levels[10].Full,0
TopByDepth[6].Levels[10].Value,26443
TopByDepth[6].Levels[10].Size,5616
TopByDepth[6].Levels[11].Short,0
TopByDepth[6].Levels[11].Full,0
TopByDepth[6].Levels[11].Value,134
TopByDepth[6].Levels[11].Size,0
TopByDepth[6].Summary.Short,14392761
TopByDepth[6].Summary.Full,4812427
TopByDepth[6].Summary.Value,14216760
TopByDepth[6].Summary.Size,1380418887
TopByDepth[7].Owner,0x9f13f88230a70de90ed5fa41ba35a5fb78bc55d11cc9406f17d314fb67047ac7
TopByDepth[7].MaxDepth,11
TopByDepth[7].TotalNodes,31644458
TopByDepth[7].TotalSize,1155533317
TopByDepth[7].ValueNodes,13479548
TopByDepth[7].Levels[0].Short,0
TopByDepth[7].Levels[0].Full,1
TopByDepth[7].Levels[0].Value,0
TopByDepth[7].Levels[0].Size,532
TopByDepth[7].Levels[1].Short,0
TopByDepth[7].Levels[1].Full,16
TopByDepth[7].Levels[1].Value,0
TopByDepth[7].Levels[1].Size,8512
TopByDepth[7].Levels[2].Short,0
TopByDepth[7].Levels[2].Full,256
TopByDepth[7].Levels[2].Value,0
TopByDepth[7].Levels[2].Size,136192
TopByDepth[7].Levels[3].Short,0
TopByDepth[7].Levels[3].Full,4096
TopByDepth[7].Levels[3].Value,0
TopByDepth[7].Levels[3].Size,2179072
TopByDepth[7].Levels[4].Short,0
TopByDepth[7].Levels[4].Full,65536
TopByDepth[7].Levels[4].Value,0
TopByDepth[7].Levels[4].Size,34865024
TopByDepth[7].Levels[5].Short,53
TopByDepth[7].Levels[5].Full,1048519
TopByDepth[7].Levels[5].Value,0
TopByDepth[7].Levels[5].Size,317188579
TopByDepth[7].Levels[6].Short,6191214
TopByDepth[7].Levels[6].Full,3073737
TopByDepth[7].Levels[6].Value,31
TopByDepth[7].Levels[6].Size,508211064
TopByDepth[7].Levels[7].Short,6793397
TopByDepth[7].Levels[7].Full,316472
TopByDepth[7].Levels[7].Value,6037028
TopByDepth[7].Levels[7].Size,269215416
TopByDepth[7].Levels[8].Short,636473
TopByDepth[7].Levels[8].Full,11643
TopByDepth[7].Levels[8].Value,6782650
TopByDepth[7].Levels[8].Size,23324074
TopByDepth[7].Levels[9].Short,23299
TopByDepth[7].Levels[9].Full,66
TopByDepth[7].Levels[9].Value,636408
TopByDepth[7].Levels[9].Size,402875
TopByDepth[7].Levels[10].Short,132
TopByDepth[7].Levels[10].Full,0
TopByDepth[7].Levels[10].Value,23299
TopByDepth[7].Levels[10].Size,1977
TopByDepth[7].Levels[11].Short,0
TopByDepth[7].Levels[11].Full,0
TopByDepth[7].Levels[11].Value,132
TopByDepth[7].Levels[11].Size,0
TopByDepth[7].Summary.Short,13644568
TopByDepth[7].Summary.Full,4520342
TopByDepth[7].Summary.Value,13479548
TopByDepth[7].Summary.Size,1155533317
TopByDepth[8].Owner,0x13e5221b360b38b094f5ef662bb810422224e76ec7e30b88b81d8b7493399e0c
TopByDepth[8].MaxDepth,11
TopByDepth[8].TotalNodes,25313379
TopByDepth[8].TotalSize,1073040002
TopByDepth[8].ValueNodes,10836537
TopByDepth[8].Levels[0].Short,0
TopByDepth[8].Levels[0].Full,1
TopByDepth[8].Levels[0].Value,0
TopByDepth[8].Levels[0].Size,532
TopByDepth[8].Levels[1].Short,0
TopByDepth[8].Levels[1].Full,16
TopByDepth[8].Levels[1].Value,0
TopByDepth[8].Levels[1].Size,8512
TopByDepth[8].Levels[2].Short,0
TopByDepth[8].Levels[2].Full,256
TopByDepth[8].Levels[2].Value,0
TopByDepth[8].Levels[2].Size,136192
TopByDepth[8].Levels[3].Short,0
TopByDepth[8].Levels[3].Full,4096
TopByDepth[8].Levels[3].Value,0
TopByDepth[8].Levels[3].Size,2179072
TopByDepth[8].Levels[4].Short,0
TopByDepth[8].Levels[4].Full,65536
